match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3754292,2016-02-06,16:00:00.000,1,0,available,processing,2021-06-30T21:15:57.620,2021-06-12T16:17:31.694,25,2,England,Premier League,England - Premier League,27,2015/2016,37,Newcastle United,male,,68,England,27,West Bromwich Albion,male,,68,England,1,Regular Season,4674,St. James' Park,68,England,10,Lee Mason,68,England,Steve McClaren,Tony Pulis,40,Steve McClaren,,1961-05-03,68,England,300,Tony Pulis,,1958-01-16,249,Wales,1.1.0,2,2
3754294,2016-04-20,21:00:00.000,4,0,available,processing,2021-07-06T20:49:53.595,2021-06-12T16:17:31.694,27,2,England,Premier League,England - Premier League,27,2015/2016,24,Liverpool,male,,68,England,29,Everton,male,,68,England,1,Regular Season,6,Anfield ,68,England,9,Robert Madley,68,England,Jürgen Klopp,Roberto Martínez Montoliú,94,Jürgen Klopp,,1967-06-16,85,Germany,263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13,214,Spain,1.1.0,2,2
3754248,2015-12-26,16:00:00.000,0,0,available,processing,2021-07-31T22:15:29.090,2021-06-12T16:17:31.694,18,2,England,Premier League,England - Premier League,27,2015/2016,28,AFC Bournemouth,male,,68,England,31,Crystal Palace,male,,68,England,1,Regular Season,71,Vitality Stadium,68,England,1,Michael Oliver,68,England,Eddie Howe,Alan Pardew,38,Eddie Howe,,1977-11-29,68,England,382,Alan Pardew,,1961-07-18,68,England,1.1.0,2,2
3754299,2016-04-03,17:00:00.000,1,0,available,processing,2021-11-04T18:55:55.405707,2021-06-12T16:17:31.694,32,2,England,Premier League,England - Premier League,27,2015/2016,39,Manchester United,male,,68,England,29,Everton,male,,68,England,1,Regular Season,2,Old Trafford,68,England,5,Andre Marriner,68,England,Louis van Gaal,Roberto Martínez Montoliú,788,Louis van Gaal,,1951-08-08,160,Netherlands,263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13,214,Spain,1.1.0,2,2
3754303,2016-02-06,16:00:00.000,1,1,available,processing,2021-07-02T14:47:57.701,2021-06-12T16:17:31.694,25,2,England,Premier League,England - Premier League,27,2015/2016,26,Swansea City,male,,249,Wales,31,Crystal Palace,male,,68,England,1,Regular Season,45,Swansea.com Stadium,249,Wales,6,Mike Dean,68,England,Francesco Guidolin,Alan Pardew,3626,Francesco Guidolin,,1955-10-03,112,Italy,382,Alan Pardew,,1961-07-18,68,England,1.1.0,2,2
3754305,2016-01-13,21:00:00.000,3,3,available,processing,2022-12-01T13:51:05.910614,2021-06-12T16:17:31.694,21,2,England,Premier League,England - Premier League,27,2015/2016,24,Liverpool,male,,68,England,1,Arsenal,male,,68,England,1,Regular Season,6,Anfield ,68,England,14,Mike Jones,68,England,Jürgen Klopp,Arsène Wenger,94,Jürgen Klopp,,1967-06-16,85,Germany,577,Arsène Wenger,,1949-10-22,78,France,1.1.0,2,2
3754306,2016-02-06,16:00:00.000,2,0,available,processing,2022-12-01T13:59:46.502862,2021-06-12T16:17:31.694,25,2,England,Premier League,England - Premier League,27,2015/2016,59,Aston Villa,male,,68,England,56,Norwich City,male,,68,England,1,Regular Season,211,Villa Park,68,England,4,Martin Atkinson,68,England,Rémi Garde,Alex Neil,92,Rémi Garde,,1966-04-03,78,France,41,Alex Neil,,1981-06-09,201,Scotland,1.1.0,2,2
3754307,2016-04-23,13:45:00.000,4,0,available,processing,2021-07-07T17:13:16.449,2021-06-12T16:17:31.694,35,2,England,Premier League,England - Premier League,27,2015/2016,36,Manchester City,male,,68,England,30,Stoke City,male,,68,England,1,Regular Season,4715,Etihad Stadium,68,England,9,Robert Madley,68,England,Manuel Luis Pellegrini Ripamonti,Mark Hughes,733,Manuel Luis Pellegrini Ripamonti,Manuel Pellegrini,1953-09-16,45,Chile,55,Mark Hughes,,1963-11-01,249,Wales,1.1.0,2,2
3754308,2016-05-15,16:00:00.000,2,2,available,processing,2022-12-01T14:50:24.749450,2021-06-12T16:17:31.694,38,2,England,Premier League,England - Premier League,27,2015/2016,23,Watford,male,,68,England,41,Sunderland,male,,68,England,1,Regular Season,4589,Vicarage Road,68,England,12,Kevin Friend,68,England,Enrique Sánchez Flores,Sam Allardyce,236,Enrique Sánchez Flores,Quique Sánchez Flores,1965-02-05,214,Spain,561,Sam Allardyce,,1954-10-19,68,England,1.1.0,2,2
3754310,2016-04-20,21:00:00.000,2,0,available,processing,2021-07-06T18:07:40.704,2021-06-12T16:17:31.694,30,2,England,Premier League,England - Premier League,27,2015/2016,39,Manchester United,male,,68,England,31,Crystal Palace,male,,68,England,1,Regular Season,2,Old Trafford,68,England,10,Lee Mason,68,England,Louis van Gaal,Alan Pardew,788,Louis van Gaal,,1951-08-08,160,Netherlands,382,Alan Pardew,,1961-07-18,68,England,1.1.0,2,2
