feature,coefficient
distance,-1.4406794626306747
is_header,-0.2740019094336259
total_defenders,-0.26557677639303506
angle,-0.24462238189790378
is_open_play,-0.18164095110461012
defenders_in_cone,-0.1440523264860214
under_pressure,-0.1320810540434805
is_strong_foot,-0.1063157826378642
technique_enc,-0.027487391403224135
gk_distance_from_goal,0.14950669513213066
nearest_defender_dist,0.48713602888471985
